"","x"
"833","No schooling"
"834","No schooling"
"835","No schooling"
"836","Middle"
"837","No schooling"
"838","Matric"
"839","Matric"
"840","No schooling"
"841","No schooling"
"842","Middle"
"843","No schooling"
"844","No schooling"
"845","No schooling"
"846","No schooling"
"847","No schooling"
"848","Preschool/ Primary"
"849","Middle"
"850","Preschool/ Primary"
"851","Matric"
"852","No schooling"
"853","No schooling"
"854","No schooling"
"855","No schooling"
"856","No schooling"
"857","No schooling"
"858","Matric"
"859","Preschool/ Primary"
"860","No schooling"
"861","Masters or above"
"862","No schooling"
"863","No schooling"
"864","Matric"
"865","Preschool/ Primary"
"866","Middle"
"867","Matric"
"868","Matric"
"869","Masters or above"
"870","Preschool/ Primary"
"871","No schooling"
"872","Intermediate"
"873","Middle"
"874","Matric"
"875","Intermediate"
"876","Middle"
"877","Masters or above"
"878","No schooling"
"879","Masters or above"
"880","Middle"
"881","Preschool/ Primary"
"882","Intermediate"
"883","Intermediate"
"884","Matric"
"885","Preschool/ Primary"
"886","No schooling"
"887","Matric"
"888","Middle"
"889","Middle"
"890","Preschool/ Primary"
"891","Intermediate"
"892","Middle"
"893","Masters or above"
"894","Middle"
"895","No schooling"
"896","Preschool/ Primary"
"897","Preschool/ Primary"
"898","No schooling"
"899","No schooling"
"900","No schooling"
"901","Preschool/ Primary"
"902","Preschool/ Primary"
"903","Middle"
"904","Preschool/ Primary"
"905","No schooling"
"906","Masters or above"
"907","Preschool/ Primary"
"908","Masters or above"
"909","Graduation"
"910","No schooling"
"911","No schooling"
"912","No schooling"
"913","No schooling"
"914","No schooling"
"915","Preschool/ Primary"
"916","Matric"
"917","No schooling"
"918","Preschool/ Primary"
"919","Matric"
"920","No schooling"
"921","No schooling"
"922","Graduation"
"923","Graduation"
"924","No schooling"
"925","Graduation"
"926","No schooling"
"927","No schooling"
"928","No schooling"
"929","Preschool/ Primary"
"930","Preschool/ Primary"
"931","Masters or above"
"932","No schooling"
"933","Matric"
"934","No schooling"
"935","Preschool/ Primary"
"936","Graduation"
"937","Preschool/ Primary"
"938","Middle"
"939","Intermediate"
"940","Matric"
"941","Middle"
"942","Preschool/ Primary"
"943","Preschool/ Primary"
"944","Preschool/ Primary"
"945","Graduation"
"946","Intermediate"
"947","No schooling"
"948","Preschool/ Primary"
"949","No schooling"
"950","No schooling"
"951","Graduation"
"952","Matric"
"953","Middle"
"954","Masters or above"
"955","Matric"
"956","Matric"
"957","Graduation"
"958","Matric"
"959","No schooling"
"960","No schooling"
"961","No schooling"
"962","No schooling"
"963","No schooling"
"964","Matric"
"965","Preschool/ Primary"
"966","Intermediate"
"967","Middle"
"968","Matric"
"969","Preschool/ Primary"
"970","Matric"
"971","Matric"
"972","Preschool/ Primary"
"973","Graduation"
"974","No schooling"
"975","Preschool/ Primary"
"976","Preschool/ Primary"
"977","Middle"
"978","Preschool/ Primary"
"979","No schooling"
"980","Middle"
"981","No schooling"
"982","No schooling"
"983","No schooling"
"984","No schooling"
"985","No schooling"
"986","No schooling"
"987","No schooling"
"988","No schooling"
"989","No schooling"
"990","No schooling"
"991","No schooling"
"992","No schooling"
"993","No schooling"
"994","No schooling"
"995","No schooling"
"996","No schooling"
"997","Preschool/ Primary"
"998","No schooling"
"999","Preschool/ Primary"
"1000","Preschool/ Primary"
"1001","No schooling"
"1002","Preschool/ Primary"
"1003","No schooling"
"1004","Preschool/ Primary"
"1005","No schooling"
"1006","Preschool/ Primary"
"1007","No schooling"
"1008","No schooling"
"1009","No schooling"
"1010","No schooling"
"1011","No schooling"
"1012","No schooling"
"1013","No schooling"
"1014","No schooling"
"1015","Preschool/ Primary"
"1016","No schooling"
"1017","No schooling"
"1018","No schooling"
"1019","No schooling"
"1020","No schooling"
"1021","No schooling"
"1022","No schooling"
"1023","No schooling"
"1024","No schooling"
"1025","No schooling"
"1026","No schooling"
"1027","No schooling"
"1028","No schooling"
"1029","Preschool/ Primary"
"1030","Matric"
"1031","Preschool/ Primary"
"1032","Preschool/ Primary"
"1033","Preschool/ Primary"
"1034","Middle"
"1035","Preschool/ Primary"
"1036","No schooling"
"1037","Preschool/ Primary"
"1038","No schooling"
"1039","Matric"
"1040","No schooling"
"1041","Intermediate"
"1042","No schooling"
"1043","No schooling"
"1044","Preschool/ Primary"
"1045","Middle"
"1046","Matric"
"1047","Middle"
"1048","Preschool/ Primary"
"1049","Middle"
"1050","Preschool/ Primary"
"1051","No schooling"
"1052","Preschool/ Primary"
"1053","Preschool/ Primary"
"1054","Preschool/ Primary"
"1055","Preschool/ Primary"
"1056","No schooling"
"1057","No schooling"
"1058","Preschool/ Primary"
"1059","Graduation"
"1060","Graduation"
"1061","Intermediate"
"1062","No schooling"
"1063","No schooling"
"1064","Matric"
"1065","No schooling"
"1066","Matric"
